Issue Type,Issue ID,Parent ID,Summary,Description,Priority,Story Points,Labels,Sprint,Acceptance Criteria
Story,US-058,EP-14,"As a developer, I want the export to include reasoning trees, diffs, comments, and git history so that the document is comprehensive",,High,5,"export,content",Sprint 8,"Reasoning trees rendered as indented text; Diffs with syntax highlighting; Comment threads with author attribution; Git commit log per ticket"
Story,US-059,EP-14,"As a developer, I want an export MCP tool so that I can generate documents from my editor",,Medium,2,"export,mcp",Sprint 8,"export-project tool; Input: format, scope (all/filtered/single ticket); Returns file path or content"
Story,US-060,EP-15,"As a developer, I want an architecture flow diagram so that I can see how packages connect",,High,5,"flow,architecture",Sprint 8,"Interactive node graph showing: core, server, mcp, file-bridge, web, vscode-ext; Edges show dependency direction; Click node shows package details"
Story,US-061,EP-15,"As a developer, I want a ticket lifecycle visualization so that I can see the state machine with hooks",,High,3,"flow,lifecycle",Sprint 8,"5 states connected by arrows; Hook annotations on each transition; Current ticket highlighted when viewing from ticket detail"
Story,US-062,EP-15,"As a developer, I want a data flow diagram so that I can trace requests from UI to database",,Medium,3,"flow,dataflow",Sprint 8,"Flow: User → React → Zustand → API Client → REST Server → Service → Repository → PostgreSQL; Animated data flow on hover"
Story,US-063,EP-15,"As a developer, I want a reasoning pipeline visualization so that I can see how tickets get processed",,Medium,3,"flow,reasoning",Sprint 8,"Flow: Ticket → Agent Router → Claude API → Parse Response → Save Reasoning → Update Diff → Notify"
Story,US-064,EP-15,"As a developer, I want a mini flow in each ticket detail showing its journey so far",,Medium,2,"flow,ticket",Sprint 8,"Small horizontal flow in ticket header; Highlights current state; Shows which hooks have fired; Which agent processed it"
Task,TK-144,US-047,Create git_branches table in Drizzle schema,Highest,1,Sprint 7,
Task,TK-145,US-047,Create git_commits table in Drizzle schema,Highest,1,Sprint 7,
Task,TK-146,US-047,Create git-branch-repo.ts — CRUD for git_branches,Highest,2,Sprint 7,
Task,TK-147,US-047,Create git-commit-repo.ts — CRUD for git_commits,Highest,2,Sprint 7,
Task,TK-148,US-047,"Create git-service.ts — branch detection, commit syncing, merge handling",Highest,2,Sprint 7,
Task,TK-149,US-048,Create GitTab.tsx — container: branch list + commit log,Highest,2,Sprint 7,
Task,TK-150,US-048,Create BranchCard.tsx — single branch with status and ahead/behind,High,1,Sprint 7,
Task,TK-151,US-048,Create CommitList.tsx — list of commits with expandable diffs,Highest,1,Sprint 7,
Task,TK-152,US-048,Create CommitEntry.tsx — single commit: hash/message/author/files,High,1,Sprint 7,
Task,TK-153,US-049,Create hooks/git/post-commit.sh — parse branch and POST to API,Highest,1,Sprint 7,
Task,TK-154,US-049,Create hooks/git/post-checkout.sh — detect new DC-* branches,Highest,1,Sprint 7,
Task,TK-155,US-049,Create hooks/git/post-merge.sh — report merge events,Highest,1,Sprint 7,
Task,TK-156,US-049,Create hooks/install-git-hooks.sh — symlink into .git/hooks/,High,1,Sprint 7,
Task,TK-157,US-049,Create server routes: POST /api/git/commit /branch /merge,High,1,Sprint 7,
Task,TK-158,US-050,Implement auto-move on branch creation in git-service.ts,High,1,Sprint 7,
Task,TK-159,US-050,Implement auto-move on merge detection in git-service.ts,High,1,Sprint 7,
Task,TK-160,US-050,Add git config to .decidr/config.json schema,Medium,1,Sprint 7,
Task,TK-161,US-051,Implement story sub-branch parsing (DC-XXX/US-YYY/*) in git-service.ts,High,2,Sprint 7,
Task,TK-162,US-051,Show story tags on sub-branch cards in GitTab,Medium,1,Sprint 7,
Task,TK-163,US-052,Add git branch indicator to TicketCard.tsx,Medium,1,Sprint 7,
Task,TK-164,US-052,Add stale branch warning badge,Medium,1,Sprint 7,
Task,TK-165,US-053,Create MCP tools: create-branch and create-story-branch,High,1,Sprint 7,
Task,TK-166,US-053,Create MCP tools: get-git-history and link-branch,High,1,Sprint 7,
Task,TK-167,US-053,Create MCP tool: install-hooks,Medium,1,Sprint 7,
Task,TK-168,US-054,Create install-git-hooks.sh with platform detection,Medium,1,Sprint 7,
Task,TK-169,US-054,Add install-hooks command to CLI and MCP,Medium,1,Sprint 7,
Task,TK-170,US-055,Implement commit message DC-XXX detection in git-service.ts,Medium,1,Sprint 7,
Task,TK-171,US-055,Implement file overlap detection for suggested links,Medium,1,Sprint 7,
Task,TK-172,US-055,"Create SuggestedLinks component — 'possibly related' UI",Medium,1,Sprint 7,
Task,TK-173,US-056,Create doc-generator.ts service — query all data and build document structure,Highest,3,Sprint 8,
Task,TK-174,US-056,Create markdown template renderer,Highest,2,Sprint 8,
Task,TK-175,US-056,Create HTML template renderer (self-contained),High,2,Sprint 8,
Task,TK-176,US-056,Create ExportModal.tsx — format picker + scope + download,High,1,Sprint 8,
Task,TK-177,US-057,Integrate puppeteer for PDF generation,High,2,Sprint 8,
Task,TK-178,US-057,Integrate docx library for DOCX generation,Medium,1,Sprint 8,
Task,TK-179,US-058,Render reasoning trees as indented text in documents,High,2,Sprint 8,
Task,TK-180,US-058,Render diffs with syntax highlighting in documents,High,1,Sprint 8,
Task,TK-181,US-058,Include git commit log per ticket in documents,High,1,Sprint 8,
Task,TK-182,US-058,"Include statistics section with charts/tables",Medium,1,Sprint 8,
Task,TK-183,US-059,Create export-project MCP tool,Medium,1,Sprint 8,
Task,TK-184,US-059,Create server route: GET /api/export?format=pdf|md|html|docx,Medium,1,Sprint 8,
Task,TK-185,US-060,"Install react-flow library, configure in web package",High,1,Sprint 8,
Task,TK-186,US-060,Create ArchitectureFlow.tsx — package dependency graph,High,2,Sprint 8,
Task,TK-187,US-060,Create FlowNode.tsx and FlowEdge.tsx — custom styled nodes/edges,High,2,Sprint 8,
Task,TK-188,US-061,Create TicketLifecycle.tsx — 5-state machine with hook annotations,High,2,Sprint 8,
Task,TK-189,US-061,Highlight current state when viewing from ticket detail,Medium,1,Sprint 8,
Task,TK-190,US-062,Create DataFlowDiagram.tsx — request lifecycle visualization,Medium,2,Sprint 8,
Task,TK-191,US-062,Add animated data flow on hover,Medium,1,Sprint 8,
Task,TK-192,US-063,Create ReasoningPipeline.tsx — ticket processing flow,Medium,2,Sprint 8,
Task,TK-193,US-063,Show agent routing decision in pipeline,Medium,1,Sprint 8,
Task,TK-194,US-064,"Create MiniFlow.tsx — horizontal flow for ticket header",Medium,1,Sprint 8,
Task,TK-195,US-064,Show fired hooks and processing agent in mini flow,Medium,1,Sprint 8,
